Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Checkout,Chrome 113.0.0.0,,,2023-05-27 16:49:02,2023-05-27 16:49:41,38.780s,PASSED
,,,,,,,
Test Cases/TS03 - Checkout/TC09 - Checkout without first name,Chrome 113.0.0.0,,,2023-05-27 16:49:02,2023-05-27 16:49:12,9.311s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 16:49:03,2023-05-27 16:49:06,2.783s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 16:49:06,2023-05-27 16:49:06,0.467s,PASSED
"setText(findTestObject(""Login_element/Username""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-27 16:49:06,2023-05-27 16:49:07,0.887s,PASSED
"setText(findTestObject(""Login_element/Password""), ""secret_sauce"")",Chrome 113.0.0.0,,,2023-05-27 16:49:07,2023-05-27 16:49:08,0.769s,PASSED
"click(findTestObject(""Login_element/Login_Btn""))",Chrome 113.0.0.0,,,2023-05-27 16:49:08,2023-05-27 16:49:08,0.479s,PASSED
"click(findTestObject(""Object Repository/Product_element/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 16:49:08,2023-05-27 16:49:09,0.477s,PASSED
"click(findTestObject(""Object Repository/Product_element/a_2""))",Chrome 113.0.0.0,,,2023-05-27 16:49:09,2023-05-27 16:49:09,0.564s,PASSED
"click(findTestObject(""Checkout_element/button_Checkout""))",Chrome 113.0.0.0,,,2023-05-27 16:49:09,2023-05-27 16:49:10,0.538s,PASSED
"click(findTestObject(""Checkout_element/button_continue1""))",Chrome 113.0.0.0,,,2023-05-27 16:49:10,2023-05-27 16:49:10,0.514s,PASSED
"verifyTextPresent(""Error: First Name is required"", false)",Chrome 113.0.0.0,,,2023-05-27 16:49:10,2023-05-27 16:49:11,0.560s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 16:49:11,2023-05-27 16:49:12,0.792s,PASSED
,,,,,,,
Test Cases/TS03 - Checkout/TC10 - Checkout without last name,Chrome 113.0.0.0,,,2023-05-27 16:49:12,2023-05-27 16:49:21,9.048s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 16:49:12,2023-05-27 16:49:13,1.341s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 16:49:13,2023-05-27 16:49:14,0.423s,PASSED
"setText(findTestObject(""Login_element/Username""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-27 16:49:14,2023-05-27 16:49:15,0.860s,PASSED
"setText(findTestObject(""Login_element/Password""), ""secret_sauce"")",Chrome 113.0.0.0,,,2023-05-27 16:49:15,2023-05-27 16:49:15,0.757s,PASSED
"click(findTestObject(""Login_element/Login_Btn""))",Chrome 113.0.0.0,,,2023-05-27 16:49:15,2023-05-27 16:49:16,0.480s,PASSED
"click(findTestObject(""Object Repository/Product_element/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 16:49:16,2023-05-27 16:49:16,0.462s,PASSED
